Year,Month,Hour,NEE_f,LE_f,H_f,Rg_f,VPD_f,rH_f,Tair_f,GPP_f,Reco, ,NEE,NEE_sqc,LE,LE_sqc,H,H_sqc,Rg,Rg_sqc,VPD,VPD_sqc,rH,rH_sqc,Tair,Tair_sqc
--,--,--,umol_m-2_s-1,Wm-2,Wm-2,Wm-2,hPa,%,degC,umol_m-2_s-1,umol_m-2_s-1,,umol_m-2_s-1,--,Wm-2,--,Wm-2,--,Wm-2,--,hPa,--,%,--,degC,--
2023,4,01:30,0.521213084304735,6.16997161513509,-5.46256002833727,0.0253333333333333,0.12413279070375,98.4706219216667,2.409,0.0672115680862195,0.588424652390955, ,0.638561214285714,0.466666666666667,6.24960057142857,0.7,-6.07467547368421,0.633333333333333,0.0253333333333333,1,0.12413279070375,1,98.4706219216667,1,2.409,1
2023,4,02:00,0.518335284094072,5.66140326468096,-4.24000806295995,0.0263333333333333,0.121753588690292,98.4914145356667,2.20466666666667,0.0621106884602009,0.580445972554273, ,0.473511777777778,0.3,6.06300519047619,0.7,-4.04916964,0.833333333333333,0.0263333333333333,1,0.121753588690292,1,98.4914145356667,1,2.20466666666667,1
2023,4,02:30,0.487831024521553,4.73513016849641,-3.96973825275101,0.0213333333333333,0.116787991685862,98.554257784,2.107,0.0903143396260454,0.578145364147599, ,0.364724857142857,0.233333333333333,5.03917505555556,0.6,-4.01764045,0.666666666666667,0.0213333333333333,1,0.116787991685862,1,98.554257784,1,2.107,1
2023,4,03:00,0.497403914642576,6.42398502528978,-3.87295437416162,0.0136666666666667,0.119365606880164,98.541890925,2.00433333333333,0.0793624322159137,0.57676634685849, ,0.9905246,0.333333333333333,7.60434138095238,0.7,-4.056412,0.766666666666667,0.0136666666666667,1,0.120988205165313,0.966666666666667,98.541890925,1,2.00433333333333,1
2023,4,03:30,0.509358665720152,6.17998989549666,-4.32690275896275,0.0226666666666667,0.115354972677203,98.5896551033333,1.74833333333333,0.0526119479204908,0.561970613640643, ,0.618469692307692,0.433333333333333,7.20307905,0.666666666666667,-5.59204726315789,0.633333333333333,0.0226666666666667,1,0.116999125801167,0.966666666666667,98.5896551033333,1,1.74833333333333,1
2023,4,04:00,0.558207009458323,5.09902069039926,-4.11981302275701,0.0296666666666667,0.109116612313876,98.6266245736667,1.615,-0.000537939515357204,0.557669069942966, ,0.576943909090909,0.366666666666667,5.42666636842105,0.633333333333333,-4.29624759090909,0.733333333333333,0.0296666666666667,1,0.109116612313876,1,98.6266245736667,1,1.615,1
2023,4,04:30,0.607615495388256,6.14611249116902,-4.04165365288412,0.0306666666666667,0.108086090213783,98.63604278,1.39666666666667,-0.0634554837386804,0.544160011649576, ,0.690822333333333,0.3,7.46732242105263,0.633333333333333,-4.93905585,0.666666666666667,0.0306666666666667,1,0.109472715202688,0.966666666666667,98.63604278,1,1.39666666666667,1
2023,4,05:00,0.564252456921238,6.45561768960144,-3.92725337083557,0.0193333333333333,0.107525417899871,98.6140775613333,1.25433333333333,-0.0285756021438023,0.535676854777436, ,0.528331933333333,0.5,8.281109,0.633333333333333,-4.17404092,0.833333333333333,0.0193333333333333,1,0.107525417899871,1,98.6140775613333,1,1.25433333333333,1
2023,4,05:30,0.601439551011442,5.83705642655363,-3.44908408095439,0.600333333333333,0.103714425407004,98.651931891,1.13166666666667,-0.0725693812945797,0.528870169716862, ,1.0044575,0.533333333333333,7.27000268421053,0.633333333333333,-3.86321776190476,0.7,0.600333333333333,1,0.103714425407004,1,98.651931891,1,1.13166666666667,1
2023,4,06:00,0.448189990592201,5.8373980350503,-3.61236113329698,8.50566666666667,0.108164704491942,98.6164246383333,1.191,0.0856033889746449,0.533793379566846, ,0.504961727272727,0.366666666666667,7.73435342105263,0.633333333333333,-4.40857525,0.666666666666667,8.50566666666667,1,0.109395856606328,0.966666666666667,98.6164246383333,1,1.191,1
