Year,Month,DoM,DoY,NEE_f,NEE_sqc,LE_f,LE_sqc,H_f,H_sqc,Rg_f,Rg_sqc,VPD_f,VPD_sqc,rH_f,rH_sqc,Tair_f,Tair_sqc,GPP_f,Reco
--,--,--,--,umol_m-2_s-1,--,Wm-2,--,Wm-2,--,Wm-2,--,hPa,--,%,--,degC,--,umol_m-2_s-1,umol_m-2_s-1
2023,4,21,111,-0.398460349638192,0.666666666666667,61.2488869207111,0.8125,24.7174808470533,0.854166666666667,219.265,1,0.520527871927565,1,96.1135220870833,1,8.16104166666667,1,1.6869041423586,1.28844379272041
2023,4,22,112,-0.260473481218477,0.583333333333333,33.3027514337562,0.791666666666667,12.5998858401871,0.708333333333333,129.411458333333,1,0.445877980128943,1,96.9620188989583,1,8.894375,1,1.80942017782055,1.54894669660207
2023,4,23,113,-0.193907444636658,0.583333333333333,43.2410658398072,0.854166666666667,10.8407054794822,0.833333333333333,153.952708333333,1,0.620506227591104,1,96.3551492302083,1,10.8689583333333,1,2.15623828642591,1.96233084178925
2023,4,24,114,0.0673040209869036,0.729166666666667,67.7692586434859,0.979166666666667,15.0919972840437,0.9375,212.025833333333,1,0.98241499164722,1,94.4084811972917,1,13.93625,1,2.30358384798708,2.37088786897398
2023,4,25,115,-0.247803098611642,0.541666666666667,45.0885835658818,0.75,16.2258356014996,0.8125,209.867708333333,1,0.727032766931031,1,95.96139985,1,10.7516666666667,1,2.24814339808936,2.00034029947772
2023,4,26,116,-0.318040249471304,0.5625,57.489421184477,0.875,22.3917512131696,0.770833333333333,216.157291666667,1,0.730370133150097,1,96.1613355133333,1,11.1177083333333,1,2.35028437311687,2.03224412364556
2023,4,27,117,-0.239877911083268,0.375,39.5080775152499,0.645833333333333,16.4344188978371,0.625,159.203333333333,1,0.343986681045964,1,97.9120899285417,1,9.826875,1,1.95574176330908,1.71586385222581
2023,4,28,118,-0.231037737172259,0.3125,35.8207617280394,0.479166666666667,19.2670893192204,0.541666666666667,113.728888888889,0.958333333333333,0.170489702273391,1,98.3084860089583,1,5.50479166666667,1,1.34632154225979,1.11528380508754
2023,4,29,119,-0.437594158108135,0.583333333333333,51.3582195060557,0.604166666666667,28.5919479231594,0.729166666666667,202.164583333333,0.979166666666667,0.356167619174219,1,96.8147851964583,1,4.68270833333333,1,1.43975371667272,1.00215955856458
2023,4,30,120,-0.46893539730968,0.666666666666667,57.7860996621359,0.6875,27.0023215609287,0.916666666666667,268.17625,1,0.613543540578459,1,95.7261042320833,1,7.53625,1,1.66582711232155,1.19689171501187
2023,5,1,121,-0.491997820740842,0.8125,59.400469501353,0.833333333333333,32.9264063168548,0.854166666666667,198.140833333333,1,0.294385848548473,1,96.9845809308333,1,5.09395833333333,1,1.34529287185915,0.853295051118305
2023,5,2,122,-0.340143624565972,0.833333333333333,85.6598896437366,0.8125,22.710621818468,0.770833333333333,274.985833333333,1,0.735127406468946,1,95.058468913125,1,8.86666666666667,1,1.4381802703783,1.09803664581233
2023,5,3,123,-0.427194709024377,0.8125,70.1595996476062,0.916666666666667,37.0163939485204,0.916666666666667,222.526041666667,1,0.431513876088596,1,96.0971319591667,1,7.186875,1,1.32228037802736,0.895085669002984
2023,5,4,124,-0.575893655638632,0.708333333333333,49.4731843041362,0.875,29.1189251225109,0.895833333333333,200.151666666667,1,0.381160477509027,1,96.5123025127083,1,4.95770833333333,1,1.36571330098308,0.789819645344447
2023,5,5,125,-0.608759042160433,0.875,70.2326101197917,0.979166666666667,46.4760492468216,0.9375,244.630833333333,1,0.36451072913102,1,95.5214565383333,1,3.090625,1,1.32275192659328,0.713992884432842
2023,5,6,126,-0.35120480712146,0.916666666666667,40.9677345744204,0.875,27.7825792216592,0.958333333333333,177.402083333333,1,0.267470455402757,1,96.2820469452083,1,0.684791666666667,1,0.992581013979901,0.641376206858441
2023,5,7,127,-0.508886961714263,0.854166666666667,44.8854739617398,0.854166666666667,27.1903477363918,0.875,200.858541666667,1,0.378803023282084,1,95.6739529075,1,2.33708333333333,1,1.36851448293647,0.859627521222203
2023,5,8,128,-0.756709272297053,0.666666666666667,40.2163461015621,0.916666666666667,31.8293564976742,0.770833333333333,226.754583333333,1,0.49138687668777,1,95.507648594375,1,4.12604166666667,1,1.89873045864738,1.14202118635032
2023,5,9,129,-0.483763592238562,0.6875,59.9264279564296,0.854166666666667,35.5815859079514,0.895833333333333,248.447916666667,1,0.643946341663645,1,95.1871548177083,1,7.00104166666667,1,1.9910753310535,1.50731173881494
2023,5,10,130,-0.153036538877415,0.791666666666667,50.1900864928075,0.9375,14.6775937327786,0.875,163.87,0.979166666666667,0.815902684647422,0.979166666666667,94.4038630867724,0.958333333333333,11.1610416666667,1,2.106789088084,1.95375254920659
2023,5,11,131,-0.344561366219949,0.5625,77.6072309776551,0.729166666666667,35.5656943534731,0.75,277.179166666667,1,0.909272993273664,1,95.1105583504167,1,12.8033333333333,1,2.58432309054704,2.23976172432709
2023,5,12,132,-0.3325559162802,0.708333333333333,95.3583280607658,0.833333333333333,32.7841893732143,0.8125,307.855,1,0.994672172466651,1,95.1890007797917,1,12.7164583333333,1,2.53430961931638,2.20175370303618
2023,5,13,133,-0.221935554929437,0.604166666666667,98.2697801853879,0.854166666666667,34.362070971009,0.833333333333333,311.75625,1,0.97480788210884,1,95.2405671845833,1,13.74,1,2.3472790562585,2.12534350132906
2023,5,14,134,-0.452908719261461,0.520833333333333,95.4558513732171,0.8125,43.9908128137961,0.833333333333333,311.733125,1,0.828062535763059,1,95.7510698845833,1,13.70875,1,2.35612637462324,1.90321765536178
2023,5,15,135,-0.113045371425854,0.5625,74.7043933770288,0.729166666666667,44.6306321247749,0.854166666666667,333.252083333333,1,0.780800541917545,1,95.99451022625,1,12.0889583333333,1,1.69182333825698,1.57877796683113
2023,5,16,136,0.0948337171914161,0.729166666666667,60.9976750272777,0.791666666666667,17.1635633371146,0.916666666666667,273.283125,1,0.945140015999752,1,95.5069962114583,1,14.1410416666667,1,1.50189102325594,1.59672474044735
2023,5,17,137,-0.391009957168335,0.833333333333333,59.8746683191256,0.958333333333333,25.2650930540997,0.916666666666667,225.94,1,0.945286950011687,1,95.4713311135417,1,16.9975,1,2.02532743347931,1.63431747631097
2023,5,18,138,-0.188900877418878,0.666666666666667,30.4429803936844,0.791666666666667,9.09396790397055,0.875,82.6632291666667,0.979166666666667,0.344857484685643,1,97.8880829516667,1,13.2254166666667,1,1.507779950407,1.31887907298813
2023,5,19,139,-0.498964805023129,0.541666666666667,78.3986625660339,0.666666666666667,45.701195542567,0.854166666666667,278.791458333333,1,0.489097323629046,1,96.8413070175,1,9.50729166666667,1,1.60717600564675,1.10821120062362
2023,5,20,140,-0.711605333082619,0.5625,93.1044409948719,0.729166666666667,54.7683682896219,0.854166666666667,326.632916666667,1,0.565162602143781,1,96.4424156289583,1,10.023125,1,1.91923064282493,1.20762530974231
2023,5,21,141,-0.453039214407249,0.375,38.316387746894,0.583333333333333,20.7187485972162,0.770833333333333,154.505,1,0.2708320362742,1,98.0952202647917,1,9.36541666666667,1,1.63808203500305,1.1850428205958
2023,5,22,142,-0.36194122010582,0.583333333333333,52.6630615021012,0.666666666666667,40.9837241753876,0.770833333333333,283.100625,1,0.446016525697776,1,97.5033482345833,1,12.1370833333333,1,1.84148553051407,1.47954431040825
2023,5,23,143,-0.522372360604206,0.416666666666667,56.892021511672,0.5625,32.6534956905542,0.583333333333333,235.264583333333,1,0.524000826450755,1,97.644962468125,1,13.8960416666667,1,2.27721036646976,1.75483800586555
2023,5,24,144,-0.448272102159061,0.541666666666667,38.6297546266039,0.645833333333333,15.9004011876109,0.666666666666667,125.926875,1,0.203886008755705,1,98.9183041647917,1,14.580625,1,2.28630953768707,1.83803743552801
2023,5,25,145,-0.722677649705031,0.416666666666667,73.3137056532647,0.583333333333333,38.2803075725108,0.854166666666667,255.718958333333,1,0.606272134787451,0.979166666666667,97.5085685102083,1,15.09125,1,2.73947941310156,2.01680176339653
2023,5,26,146,-0.847004191124745,0.645833333333333,84.0250484674588,0.708333333333333,34.3998770708596,0.854166666666667,275.027916666667,1,0.81005996626382,1,96.396187186875,1,15.4370833333333,1,2.9774088092315,2.13040461810676
