TIMESTAMP_1,Ta_1_1_1,RH_1_1_1,Rg_1_1_1,Lwin_1_1_1,Lwout_1_1_1,Swin_1_1_1,Swout_1_1_1,P_1_1_1
yyyy-mm-dd HHMM,C,%,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,mm
2023-10-07 1100,6.87,99.64968633,55.94,346.22,348.35,55.94,6.96,0
2023-10-07 1130,7.52,99.6613608,67.29,349.37,351.41,67.29,8.04,0.2
2023-10-07 1200,8.14,99.64449161,40.21,351.12,352.93,40.21,4.91,1.5
2023-10-07 1230,8.69,99.61558725,60.7,347.42,354.72,60.7,7.56,1.4
2023-10-07 1300,9.14,99.56312973,121.46,348.74,357.96,121.46,14.37,1
2023-10-07 1330,10.28,99.34130193,288.84,337.26,366.85,288.84,34.75,0.1
2023-10-07 1400,10.98,99.28228745,224.1,357.31,371.01,224.1,26.2,0
2023-10-07 1430,11.3,99.12979749,184.94,341.6,369.46,184.94,21.41,0
2023-10-07 1500,11.64,98.93572068,174.49,345.14,371.13,174.49,21.26,0
2023-10-07 1530,11.29,99.34532392,61.58,364.5,368.22,61.58,7.82,0.6
