TIMESTAMP_1,_Ta_1_1_1,RH_1_1_1,Rg_1_1_1,Lwin_1_1_1,Lwout_1_1_1,Swin_1_1_1,Swout_1_1_1,PPFD_1_1_1,P_1_1_1,P_rain_1_1_1
yyyy-mm-dd HHMM,C,%,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,umol+1m-2s-1,mm,mm
2015-11-06 2300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 2330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0430,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0530,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0630,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0730,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0830,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 0930,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1430,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
