DoY,u*,H,lE,NEE,PPFD,Ta,VPD,PPFD_gapfilling,Ta_gapfilling,VPD_gapfilling,period
--,m s-1,W m-2,-,umol m-2 s-1,umol m-2 s-1,oC,kPa,umol m-2 s-1,oC,kPa,--
2.32,0.182964,-26.1061,-4.43853,0.1875,45.70212765957447,-2.26,0.0,45.70212765957447,-2.26,0.0,1
2.33,0.170785,-23.7709,-4.92468,0.11963399999999999,7.1063829787234045,-2.78,0.0,7.1063829787234045,-2.78,0.0,1
2.34,0.18563,-28.9459,-5.30797,0.45127700000000004,0.0,-2.94,0.0,0.0,-2.94,0.0,1
2.35,0.212746,-26.4426,-5.5154,0.31459299999999996,0.0,-3.01,0.0,0.0,-3.01,0.0,1
2.36,0.198104,-24.6737,-4.66828,0.2803,0.0,-3.06,0.0,0.0,-3.06,0.0,1
2.37,0.150049,-18.9689,-4.68921,0.24629,0.0,-3.16,0.0,0.0,-3.16,0.0,1
2.38,0.052,-7.74644,-3.10459,0.243801,0.0,-3.31,0.0,0.0,-3.31,0.0,1
2.39,0.063,-6.803,-2.99464,0.159465,0.0,-3.62,0.0,0.0,-3.62,0.0,1
2.4,0.0673,-6.71741,-3.07191,0.312517,0.0,-99999.0,-99999.0,0.0,-3.508,0.0,1
2.41,0.0738,-1.98999,-1.54459,-99999.0,0.0,-99999.0,-99999.0,0.0,-3.396,0.0,1
2.42,0.0206,1.1187,-0.149477,-99999.0,0.0,-99999.0,-99999.0,0.0,-3.284,0.0,1
2.43,0.0835,-6.27931,-3.42225,0.265935,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
2.44,0.13933,-6.23176,-2.53761,0.23711300000000002,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
2.45,0.15316,-5.5884,-1.98652,0.34804500000000005,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
2.46,0.118321,-3.6485,-0.9042,0.282001,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
2.47,0.0821,-2.53799,-0.877288,0.12012199999999999,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
3.0,0.0949,-3.20367,0.242886,0.153386,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
3.01,0.0763,-1.96105,-99999.0,0.113584,0.0,-2.5,0.0,0.0,-2.5,0.0,1
3.02,0.0784,-1.56854,-99999.0,0.252732,0.0,-99999.0,-99999.0,0.0,-3.9433333333333334,0.0,1
3.03,0.140436,-3.49637,-99999.0,0.814985,0.0,-99999.0,-99999.0,0.0,-5.386666666666667,0.0,1
3.04,0.0943,-1.20679,-99999.0,-99999.0,0.0,-6.83,0.0,0.0,-6.83,0.0,1
3.05,0.126817,-0.579976,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-6.393478260869565,0.0,1
3.06,0.149821,0.339607,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-5.956956521739131,0.0,1
3.07,0.215875,0.302808,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-5.520434782608696,0.0,1
3.08,0.233347,-99999.0,-99999.0,1.5119099999999999,0.021276595744680854,-99999.0,-99999.0,0.021276595744680854,-99999.0,-99999.0,1
3.09,0.303374,-2.84464,-99999.0,-99999.0,0.06382978723404255,-99999.0,-99999.0,0.06382978723404255,-99999.0,-99999.0,1
3.1,0.285988,-1.04712,-99999.0,0.6867420000000001,0.06382978723404255,-99999.0,-99999.0,0.06382978723404255,-99999.0,-99999.0,1
3.11,0.309831,-0.624994,-5.51862,0.220181,0.1276595744680851,-99999.0,-99999.0,0.1276595744680851,-99999.0,-99999.0,1
3.12,0.264788,-1.06783,-99999.0,1.292098,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
3.13,0.232683,5.3457,-99999.0,-99999.0,0.9361702127659575,-99999.0,-99999.0,0.9361702127659575,-99999.0,-99999.0,1
3.14,0.216155,12.4033,-99999.0,-99999.0,3.3617021276595747,-99999.0,-99999.0,3.3617021276595747,-99999.0,-99999.0,1
3.15,0.167421,5.01816,-99999.0,-99999.0,5.191489361702128,-99999.0,-99999.0,5.191489361702128,-99999.0,-99999.0,1
3.16,0.188788,12.0291,-99999.0,-99999.0,2.297872340425532,-99999.0,-99999.0,2.297872340425532,-99999.0,-99999.0,1
3.17,0.459677,-99999.0,-99999.0,-99999.0,0.5319148936170213,-99999.0,-99999.0,0.5319148936170213,-99999.0,-99999.0,1
3.18,0.145227,-8.73158,-99999.0,-99999.0,0.6170212765957447,-99999.0,-99999.0,0.6170212765957447,-99999.0,-99999.0,1
3.19,0.0982,-1.12814,-99999.0,-99999.0,1.148936170212766,-99999.0,-99999.0,1.148936170212766,-99999.0,-99999.0,1
3.2,-99999.0,-99999.0,-99999.0,-99999.0,3.0638297872340425,-99999.0,-99999.0,3.0638297872340425,-99999.0,-99999.0,1
3.21,-99999.0,-99999.0,-99999.0,-99999.0,11.893617021276595,-99999.0,-99999.0,11.893617021276595,-99999.0,-99999.0,1
3.22,-99999.0,-99999.0,-99999.0,-99999.0,41.234042553191486,-99999.0,-99999.0,41.234042553191486,-99999.0,-99999.0,1
3.23,-99999.0,-99999.0,-99999.0,-99999.0,61.21276595744681,-99999.0,-99999.0,61.21276595744681,-99999.0,-99999.0,1
3.24,-99999.0,-99999.0,-99999.0,-99999.0,114.48936170212767,-99999.0,-99999.0,114.48936170212767,-99999.0,-99999.0,1
3.25,-99999.0,-99999.0,-99999.0,-99999.0,79.93617021276596,-99999.0,-99999.0,79.93617021276596,-99999.0,-99999.0,1
3.26,-99999.0,-99999.0,-99999.0,-99999.0,131.1276595744681,-99999.0,-99999.0,131.1276595744681,-99999.0,-99999.0,1
3.27,0.400837,-99999.0,-99999.0,-99999.0,-99999.0,3.21,0.0,139.5,3.21,0.0,1
3.28,0.286257,-99999.0,-99999.0,-99999.0,147.87234042553192,3.24,0.0,147.87234042553192,3.24,0.0,1
3.29,0.320768,-99999.0,-99999.0,0.738291,94.19148936170214,3.33,0.0,94.19148936170214,3.33,0.0,1
3.3,0.257812,-44.142,-99999.0,-99999.0,65.04255319148936,3.14,0.0,65.04255319148936,3.14,0.0,1
3.31,0.289292,-33.2382,-99999.0,-99999.0,37.40425531914894,2.95,0.0,37.40425531914894,2.95,0.0,1
3.32,1.19539,-99999.0,-99999.0,-99999.0,23.68085106382979,-99999.0,-99999.0,23.68085106382979,2.6655555555555557,0.0,1
3.33,-99999.0,-99999.0,-99999.0,-99999.0,5.851063829787234,-99999.0,-99999.0,5.851063829787234,2.381111111111111,0.0,1
3.34,0.834478,-99999.0,-99999.0,-99999.0,0.9361702127659575,-99999.0,-99999.0,0.9361702127659575,2.0966666666666667,0.0,1
3.35,1.01826,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
3.36,0.520627,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
3.37,0.640904,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
3.38,0.907415,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
3.39,0.901771,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
3.4,0.835414,-99999.0,-99999.0,-99999.0,0.0,0.39,0.0,0.0,0.39,0.0,1
3.41,0.394501,-38.3313,-99999.0,-99999.0,0.8936170212765958,0.23,8.881784197001252e-16,0.8936170212765958,0.23,8.881784197001252e-16,1
3.42,0.359486,-10.3894,-9.6754,-99999.0,0.6595744680851064,0.02,0.0,0.6595744680851064,0.02,0.0,1
3.43,0.474137,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-0.2683333333333333,0.0,1
3.44,0.360492,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-0.5566666666666666,0.0,1
3.45,0.553684,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-0.845,0.0,1
3.46,0.695975,-46.6348,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
3.47,0.852136,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
4.0,0.520363,-99999.0,-99999.0,-99999.0,0.0,-1.71,0.0,0.0,-1.71,0.0,1
4.01,0.341033,-30.0709,-99999.0,-99999.0,0.0,-1.93,8.881784197001252e-16,0.0,-1.93,8.881784197001252e-16,1
4.02,0.221221,0.939318,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-2.1175,6.661338147750939e-16,1
4.03,0.214127,1.0919,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-2.305,4.440892098500626e-16,1
4.04,0.442283,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-2.4925,2.220446049250313e-16,1
4.05,0.30599,-99999.0,-99999.0,-99999.0,0.0,-2.68,0.0,0.0,-2.68,0.0,1
4.06,0.310436,-5.64579,-99999.0,-99999.0,0.0,-2.86,0.0,0.0,-2.86,0.0,1
4.07,0.293974,-2.33564,-99999.0,-99999.0,0.0,-2.98,0.0,0.0,-2.98,0.0,1
4.08,0.286736,-99999.0,6.62279,-99999.0,0.0,-3.04,0.0,0.0,-3.04,0.0,1
4.09,0.225797,0.544662,5.57991,0.299344,0.0,-3.09,0.0,0.0,-3.09,0.0,1
4.1,0.202533,-1.39251,4.56771,0.404513,0.0,-3.15,0.0,0.0,-3.15,0.0,1
4.11,0.313883,-2.6936,5.26361,0.169508,0.0,-3.23,0.0,0.0,-3.23,0.0,1
4.12,0.188762,-1.32014,3.59377,0.121364,0.0,-3.22,0.0,0.0,-3.22,0.0,1
4.13,0.212721,-3.47087,5.70172,0.290402,0.0,-3.29,0.0,0.0,-3.29,0.0,1
4.14,0.173545,-3.13026,3.54494,-99999.0,0.0,-3.24,0.0,0.0,-3.24,0.0,1
4.15,0.170963,-2.4504,3.14236,0.004199999999999999,0.0,-3.24,0.0,0.0,-3.24,0.0,1
4.16,0.215515,-11.3985,4.2158,-99999.0,0.0,-99999.0,-99999.0,0.0,-3.2800000000000002,0.0,1
4.17,0.258889,-26.3464,5.87146,-99999.0,0.0,-3.32,0.0,0.0,-3.32,0.0,1
4.18,0.530864,-99999.0,-99999.0,-99999.0,0.0,-3.5,0.0,0.0,-3.5,0.0,1
4.19,0.651413,-99999.0,-99999.0,-99999.0,2.74468085106383,-3.7,0.0,2.74468085106383,-3.7,0.0,1
4.2,0.556615,-22.1559,4.90978,-99999.0,12.53191489361702,-3.63,0.0,12.53191489361702,-3.63,0.0,1
4.21,0.526138,-37.8651,9.98901,-99999.0,34.765957446808514,-3.41,0.0,34.765957446808514,-3.41,0.0,1
4.22,0.458347,-70.79,9.74563,-99999.0,59.91489361702128,-3.35,0.0,59.91489361702128,-3.35,0.0,1
4.23,0.464768,-99999.0,4.81342,-99999.0,84.36170212765957,-3.41,0.0,84.36170212765957,-3.41,0.0,1
4.24,0.203846,-13.4444,2.47537,-99999.0,108.93617021276597,-3.25,0.0,108.93617021276597,-3.25,0.0,1
4.25,0.168995,-1.53432,3.40141,0.12438199999999999,118.63829787234043,-3.15,0.0,118.63829787234043,-3.15,0.0,1
4.26,0.184818,-1.67103,5.40394,0.12387,114.19148936170214,-2.93,0.0,114.19148936170214,-2.93,0.0,1
4.27,0.123105,-0.466916,0.580931,0.265945,99.65957446808513,-2.76,0.0,99.65957446808513,-2.76,0.0,1
